url,status_code,final_url,response_time_ms,indexable (yes/no),canonical,title,title_len,meta_description,meta_description_len,h1,h1_count,h2_count,h3_count,headings_outline,intro_text,keyword_primary,keyword_in_title (yes/no),keyword_in_h1 (yes/no),keyword_in_intro (yes/no),keyword_density_primary_pct,keyword_counts_json,internal_links_out_count,internal_links_unique_out_count,internal_links_in_count,broken_internal_links_out,word_count,schema_types,og_title_present,og_description_present,og_url_present,notes
https://serenelandscapes.ca/,200,https://serenelandscapes.ca/,61,yes,https://serenelandscapes.ca/,Professional Landscaping Edmonton AB | Serene Landscaping,57,"Professional landscaping in Edmonton, St. Albert, Spruce Grove & Sherwood Park. Design, lawn care, hardscaping, snow removal. Call 587-566-9879",143,Professional Landscaping Services in Edmonton & Area,1,9,5,H1|H2|H2|H2|H2|H2|H2|H2|H3|H3|H3|H3|H2|H2|H3,professional landscaping services in edmonton area complete landscape solutions from site grading and sod installation to custom paving stones retaining walls and year round property maintenance serving edmonton sherwood park st albert and spruce grove with quality workmanship and 8 years industry experience get a free estimate services landscaping services service final grading precision grading improves drainage stability and long term performance service sod installation fresh sod installed with proper prep healthy rooting service hardscaping custom patios walkways walls built strong to last service paving stones interlocking stone patios and paths clean durable finishes service landscape design design build planning aligns layout materials and installation goals service snow removal reliable snow management keeps driveways walkways lots safe commercial we also offer commercial landscaping and snow removal view commercial services why choose us why homeowners trust serene landscaping serene landscaping provides professional landscaping lawn care and snow removal services in edmonton st albert spruce grove sherwood park and stony plain we bring years of experience in the landscaping industry to transform your property customer experience our priority is making sure you have a seamless experience from start to finish and you love your home's new look 100 fair pricing we know,landscaping edmonton,yes,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",79,18,21,[],864,"[""AggregateRating"", ""Answer"", ""City"", ""ContactPoint"", ""FAQPage"", ""GeoCoordinates"", ""ImageObject"", ""LandscapingBusiness"", ""Organization"", ""PostalAddress"", ""Question""]",yes,yes,yes,keyword_missing_in_intro
https://serenelandscapes.ca/about,200,https://serenelandscapes.ca/about,185,yes,https://serenelandscapes.ca/about,About Serene Landscaping | Edmonton Area Landscapers,52,"8+ years providing landscaping in Edmonton and area. Licensed and insured for final grading, sod, and hardscaping. Book a quote today. Call 587-566-9879.",153,About Us,2,5,13,H1|H1|H2|H3|H3|H3|H3|H3|H3|H2|H3|H3|H3|H3|H3|H3|H2|H2|H2|H3,about us book free estimate about us about serene landscaping serene landscaping is a family owned landscaping company serving edmonton st albert spruce grove sherwood park stony plain and surrounding alberta communities we provide professional landscaping services for residential and commercial properties across greater edmonton our services include landscape design lawn maintenance and hardscaping along with reliable snow removal during the winter season each service is planned and installed with long term performance in mind what began as a small lawn care operation has grown into a full service landscaping company trusted by hundreds of edmonton area homeowners and businesses from seasonal cleanups to complete landscape projects we approach every job with the same level of care and stand behind our work with a clear satisfaction guarantee we are licensed insured and wcb covered so your property and our crew are protected at every stage of the project with over eight years of combined experience working in alberta s climate we understand local soil conditions drainage requirements and seasonal challenges we know what works in edmonton and what does not our reputation is built on quality work fair pricing and honest communication we show up when we say we will,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",53,20,21,[],1148,"[""Answer"", ""FAQPage"", ""Question""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/about -> https://serenelandscapes.ca/about; multiple_h1; keyword_missing_in_intro
https://serenelandscapes.ca/blog,200,https://serenelandscapes.ca/blog,191,yes,https://serenelandscapes.ca/blog,Landscaping Blog Edmonton Tips | Serene Landscaping,51,"Landscaping tips for Edmonton homeowners. Lawn care, sod, grading, and patio advice from local crews. Read the latest posts today and call 587-566-9879.",152,Blog,1,9,3,H1|H2|H2|H2|H2|H2|H2|H2|H2|H2|H3|H3|H3,blog book free estimate serene landscaping jan 25 2026 spring lawn care edmonton month by month guide 2025 spring lawn care in edmonton with cleanup aeration and fertilizing steps get a simple month by month plan and timing tips today call 587 566 9879 continue reading serene landscaping dec 28 2025 best time to install sod edmonton timing guide 2025 best time to install sod in edmonton compare spring vs fall timing watering steps install windows and care tips read the guide today and call 587 566 9879 continue reading serene landscaping nov 30 2025 patio cost edmonton paver and concrete price guide patio cost in edmonton with price ranges by size and material compare pavers concrete labor and prep work read the guide today and call 587 566 9879 continue reading serene landscaping nov 2 2025 prepare for snow removal edmonton winter checklist how to prepare for snow removal in edmonton clear access points mark edges and plan service timing for crews read the guide today and call 587 566 9879 continue reading serene landscaping oct 5 2025 final grading edmonton new build requirements guide final grading requirements in edmonton for new builds slope targets topsoil depth and inspection,final grading edmonton,no,no,yes,1.4888,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 2, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",49,26,21,[],403,[],yes,yes,yes,redirect_chain:https://serenelandscapes.ca/blog -> https://serenelandscapes.ca/blog; keyword_not_in_first_100_words
https://serenelandscapes.ca/commercial-landscaping,200,https://serenelandscapes.ca/commercial-landscaping,173,yes,https://serenelandscapes.ca/commercial-landscaping,Edmonton Commercial Landscaping | Serene Landscaping,52,"Commercial landscaping in Edmonton for offices, retail, and multi-family sites. Scheduled maintenance, clear communication. Request a quote. Call 587-566-9879.",159,Commercial Landscaping in Edmonton,1,9,5,H2|H1|H2|H2|H2|H3|H3|H3|H3|H2|H2|H2|H2|H2|H3,commercial landscape construction book free estimate commercial landscaping in edmonton serene landscaping provides commercial landscape design installation and maintenance for businesses property managers and condo boards across edmonton st albert spruce grove and sherwood park we focus on reliable professional service that keeps your property well maintained without disrupting daily operations commercial clients rely on us for new construction renovations parking lot landscaping regular maintenance seasonal cleanups and winter snow removal we understand that your property s appearance affects customer impressions tenant retention and long term value so we prioritize dependable scheduling clean work and clear communication on every site commercial landscaping services we offer commercial landscape design property installation construction regular maintenance programs seasonal cleanups irrigation system installation parking lot landscaping office building landscaping retail property landscaping condo board landscaping why property managers choose serene reliable scheduling we show up on schedule weekly means weekly not whenever we get to it consistent quality property managers with multiple sites get the same quality at every location flexible scheduling we schedule during off hours to minimize disruption to business operations transparent billing clear seasonal or annual contracts with detailed pricing no surprise charges licensed insured full liability insurance and wcb coverage,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",50,17,21,[],757,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/commercial-landscaping -> https://serenelandscapes.ca/commercial-landscaping; keyword_missing_in_intro
https://serenelandscapes.ca/commercial-maintenance,200,https://serenelandscapes.ca/commercial-maintenance,179,yes,https://serenelandscapes.ca/commercial-maintenance,Commercial Maintenance Edmonton | Serene Landscaping,52,"Commercial property maintenance in Edmonton. Lawn care, pruning, bed upkeep, and seasonal cleanups for reliable sites. Request service today. Call 587-566-9879.",160,Commercial Property Maintenance in Edmonton,1,5,1,H2|H1|H2|H2|H2|H2|H3,commercial property maintenance book free estimate commercial property maintenance in edmonton comprehensive commercial property maintenance throughout edmonton st albert spruce grove and sherwood park regular lawn care seasonal cleanups and consistent maintenance keep business properties looking professional year round we also offer commercial landscaping and snow removal so you can use one provider for grounds and winter service our commercial maintenance minimizes disruption while keeping your property presentable we work with businesses property managers and condo boards throughout greater edmonton we show up on schedule weekly means weekly and deliver the same quality across all sites for managers with multiple properties billing is transparent with clear seasonal or annual contracts commercial maintenance services regular lawn mowing maintenance commercial fertilization programs spring fall cleanups seasonal property upkeep mulching bed maintenance trimming pruning irrigation system maintenance weed control treatment custom maintenance programs why property managers choose serene reliable scheduling we show up on schedule weekly maintenance means weekly not whenever we get to it consistent quality same quality across all locations for property managers with multiple sites flexible scheduling we work around your business hours to minimize disruption transparent billing clear seasonal or annual contracts with detailed pricing no surprise charges detailed,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",46,18,21,[],498,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/commercial-maintenance -> https://serenelandscapes.ca/commercial-maintenance; keyword_missing_in_intro
https://serenelandscapes.ca/commercial-snow-removal,200,https://serenelandscapes.ca/commercial-snow-removal,170,yes,https://serenelandscapes.ca/commercial-snow-removal,Commercial Snow Removal Edmonton | Serene Landscaping,53,"Commercial snow removal in Edmonton. Plowing, hauling, and sidewalk clearing for safe access and clear entry points. 24/7 service today. Call 587-566-9879.",155,Commercial Snow Removal in Edmonton,1,5,1,H2|H1|H2|H2|H2|H2|H3,commercial snow removal book free estimate commercial snow removal in edmonton reliable commercial snow removal in edmonton plowing blowing sanding and ice control for businesses parking lots and commercial properties we provide 24 7 winter service so your site stays safe and accessible seasonal contracts and clear billing no surprise charges our commercial snow removal keeps your property safe for customers employees and tenants we work with businesses property managers and condo boards across edmonton st albert sherwood park and spruce grove for existing contract clients we respond quickly after snowfall urgent requests are handled within 24 hours commercial snow removal services parking lot snow removal sidewalk walkway clearing commercial snow plowing ice control sanding snow blowing services snow hauling removal seasonal contracts 24 7 emergency response why choose serene landscaping licensed and insured full liability insurance and wcb coverage protects your property during all operations reliable response crews dispatched promptly after snowfall for priority clearing proper equipment commercial grade equipment for parking lots loading zones and large properties clear contracts straightforward service agreements with clear terms and pricing safe site access focus on keeping entrances walkways and parking areas safe all winter get a quote faq questions about commercial,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",42,17,21,[],472,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/commercial-snow-removal -> https://serenelandscapes.ca/commercial-snow-removal; keyword_missing_in_intro
https://serenelandscapes.ca/contact,200,https://serenelandscapes.ca/contact,185,yes,https://serenelandscapes.ca/contact,Contact Serene Landscaping | Edmonton Area Free Quotes,54,"Contact Serene Landscaping for free quotes in Edmonton, St. Albert, and Sherwood Park. Final grading, sod, hardscaping. Book online or call 587-566-9879.",153,Contact Us,2,3,3,H1|H1|H2|H2|H3|H3|H2|H3,contact us view portfolio contact get your free landscaping quote ready to transform your property contact serene landscaping for a free consultation and detailed quote we serve residential and commercial properties throughout edmonton and surrounding alberta communities what to expect free on site consultation at your property detailed written quote within 24 hours no pressure no obligation professional recommendations based on your goals and budget response time we typically respond to quote requests within 24 hours for urgent needs call us directly at 587 566 9879 don t fill this out if you re human name email phone property address how did you find us tell us about your project request your free quote thanks your message was sent we ll be in touch within 24 hours call or text 587 566 9879 available 7 days a week for quotes and questions email info serenelandscapes ca we respond within 24 hours service areas edmonton st albert spruce grove sherwood park fort saskatchewan leduc beaumont stony plain plus surrounding alberta communities within 30km of edmonton location serving greater edmonton edmonton ab what landscaping services can we help you with here is a quick snapshot of what we do most often across,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",45,18,21,[],521,"[""Answer"", ""FAQPage"", ""Question""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/contact -> https://serenelandscapes.ca/contact; multiple_h1; keyword_missing_in_intro
https://serenelandscapes.ca/locations/edmonton-landscaping-company,200,https://serenelandscapes.ca/locations/edmonton-landscaping-company,169,yes,https://serenelandscapes.ca/locations/edmonton-landscaping-company,Edmonton Landscaping Services | Serene Landscaping,50,"Complete landscaping services in Edmonton. Final grading, sod, hardscaping, and design for homes and businesses. Book a quote today. Call 587-566-9879.",151,Landscaping Services in Edmonton,1,15,1,H2|H1|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H3,edmonton landscaping services book free estimate landscaping services in edmonton finish your new build yard properly that is what homeowners in newer developments like secord mcconachie heritage valley and windermere need most new construction comes with unfinished yards that need final grading sod installation and completion before you can enjoy the property our typical path starts with final grading in edmonton to meet city requirements and ensure proper drainage from there we install fresh sod then add patios and walkways when you are ready many clients complete the full landscape package in phases starting with essentials and expanding later in established neighborhoods we handle lawn replacement patio upgrades and landscape renovations whether you are in a new development or an older area serene landscaping in edmonton provides clear pricing and a finished result that looks right for your property landscaping services we offer final grading and yard preparation sod installation and lawn replacement patios walkways and retaining walls landscape design and renovations lawn maintenance and seasonal cleanups snow removal and commercial services service highlights final grading is the first step for new builds so yards pass inspection and drain correctly we shape topsoil protect swales and leave the site ready,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",53,17,21,[],834,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/locations/edmonton-landscaping-company -> https://serenelandscapes.ca/locations/edmonton-landscaping-company; keyword_missing_in_intro
https://serenelandscapes.ca/locations/sherwood-park-landscaping-company,200,https://serenelandscapes.ca/locations/sherwood-park-landscaping-company,178,yes,https://serenelandscapes.ca/locations/sherwood-park-landscaping-company,Sherwood Park Landscaping Services | Serene Landscaping,55,"Complete landscaping services in Sherwood Park. Final grading, sod, hardscaping, and design for local homes. Book a free quote today. Call 587-566-9879.",152,Landscaping Services in Sherwood Park,1,15,1,H2|H1|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H3,sherwood park landscaping services book free estimate landscaping services in sherwood park sherwood park homeowners in established neighborhoods like brentwood and lakeland ridge typically want clean practical upgrades without a long drawn out project we focus on targeted improvements that make a clear difference while keeping the property usable our typical path starts with lawn replacement or small hardscaping projects like patio upgrades or walkway improvements from there many clients expand to larger projects like complete patio renovations or full landscape upgrades this phased approach keeps the project manageable for budget and timeline in neighborhoods like lakeland ridge summerwood and brentwood we handle lawn replacement and clean hardscape upgrades for properties that need a refresh our goal is practical improvements that make a clear difference without unnecessary disruption landscaping services we offer lawn replacement and sod installation patios walkways and retaining walls landscape renovations and upgrades final grading and drainage corrections lawn maintenance and seasonal cleanups snow removal and commercial services service highlights lawn replacement is the most common starting point here we remove failed turf when needed correct low spots and install sod with tight seams and clean edges most lawn replacement projects run 2 500 to 6 000,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",50,18,21,[],737,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/locations/sherwood-park-landscaping-company -> https://serenelandscapes.ca/locations/sherwood-park-landscaping-company; keyword_missing_in_intro
https://serenelandscapes.ca/locations/st-albert-landscaping-company,200,https://serenelandscapes.ca/locations/st-albert-landscaping-company,176,yes,https://serenelandscapes.ca/locations/st-albert-landscaping-company,St. Albert Landscaping Services | Serene Landscaping,52,"Complete landscaping services in St. Albert. Final grading, sod, hardscaping, and design for homes and acreages. Book a quote today. Call 587-566-9879.",151,Landscaping Services in St. Albert,1,11,1,H2|H1|H2|H2|H2|H2|H2|H2|H2|H2|H2|H2|H3,st albert landscaping services book free estimate landscaping services in st albert st albert homeowners expect compliance and property value focus whether you are finishing a new build in erin ridge or upgrading an established property in braeside or oakmont the standard stays the same proper grading quality materials and a finished result that enhances property value many st albert projects start with final grading because it prevents rework and ensures compliance with local building requirements from there we install fresh sod to complete the basic yard then add patios and walkways when you are ready this phased approach lets you finish essentials first and expand later without paying twice for prep work in newer communities like erin ridge and jensen lakes we handle final grading sod installation and complete yard builds for new construction in established neighborhoods like braeside oakmont and lacombe park serene landscaping in st albert focuses on upgrades that improve function and appearance while respecting what is already there landscaping services we offer final grading and yard preparation sod installation and lawn replacement patios walkways and retaining walls landscape design and renovations lawn maintenance and seasonal cleanups snow removal and commercial services our services in st,landscaping edmonton,no,no,no,0.0,"{""landscaping edmonton"": 0, ""landscape design edmonton"": 0, ""sod installation edmonton"": 0, ""final grading edmonton"": 0, ""commercial landscaping Edmonton"": 0, ""final grading st albert"": 0, ""landscaping st albert"": 0, ""landscaping Sherwood park"": 0, ""landscape design st albert"": 0, ""paving stones edmonton"": 0, ""paving contractor st. albert"": 0}",51,17,21,[],735,"[""Answer"", ""City"", ""FAQPage"", ""LandscapingBusiness"", ""Question"", ""Service""]",yes,yes,yes,redirect_chain:https://serenelandscapes.ca/locations/st-albert-landscaping-company -> https://serenelandscapes.ca/locations/st-albert-landscaping-company; keyword_missing_in_intro
